Magic Gamma Telescope, 0.77764808, 0.77768348, 0.83859946, 0.83859245, 0.83879207, 0.83878592, 0.8386754
Epileptic Seizure Recognition, 0.83502174, 0.83502174, 0.83124783, 0.8310087 , 0.83515217, 0.83518261, 0.82258696 
APS Failure at Scania Trucks, 0.98356597, 0.98361155, 0.85042364, 0.85051619, 0.99107025, 0.99107196, 0.96107475 
default of credit card clients, 0.66914422, 0.66916894, 0.72516297, 0.72515241, 0.72633702, 0.7263249 , 0.72237257
Spambase, 0.97167645, 0.97176119, 0.93113487, 0.93113273, 0.97304782, 0.97293243, 0.97091021 
Tree Wilt, 0.91075276, 0.91083874, 0.97744843, 0.97744293, 0.97772305, 0.97772621, 0.97678313 
Turkiye Student Evaluation, 0.56219138, 0.5624432 , 0.60241535, 0.60216581, 0.59881968, 0.59862326, 0.60124213 
Wireless Indoor Localization, 0.96889311, 0.96888597, 0.97603259, 0.97599594, 0.98022505, 0.98021392, 0.98056168
MNIST 5 vs. 8, 0.99183995, 0.99186007, 0.98576107, 0.98575708, 0.99325966, 0.99325203, 0.97668592
