Magic Gamma Telescope, 0.79118034, 0.79118034, 0.79110147, 0.79111199, 0.79112776, 0.79113565, 0.79099369
Epileptic Seizure Recognition, 0.83502174, 0.83502174, 0.83124783, 0.8310087 , 0.83515217, 0.83518261, 0.82258696 
APS Failure at Scania Trucks, 0.98873594, 0.98873594, 0.98654062, 0.98655469, 0.9887625, 0.9887625 , 0.99050937
default of credit card clients, 0.97167645, 0.97176119, 0.93113487, 0.93113273, 0.97304782, 0.97293243, 0.97091021
Spambase, 0.91075276, 0.91083874, 0.97744843, 0.97744293, 0.97772305, 0.97772621, 0.97678313
Tree Wilt, 0.9694938, 0.9694938 , 0.96815083, 0.9681095 , 0.9702686, 0.9702686, 0.96779959
Turkiye Student Evaluation, 0.63900344, 0.63900344, 0.64071306, 0.64094502, 0.64089347, 0.64069588, 0.64311856 
Wireless Indoor Localization, 0.92185 , 0.92185 , 0.913125, 0.913, 0.922675, 0.9225, 0.923225
MNIST 5 vs. 8, 0.96216514, 0.96216514, 0.95961568, 0.95960426, 0.96230974, 0.96232877, 0.94001903
