Magic Gamma Telescope, 0.86424816, 0.86424816, 0.86567298, 0.86568086, 0.86628812, 0.86632229, 0.87209253
Epileptic Seizure Recognition, 0.80547826, 0.80547826, 0.799, 0.799, 0.93292174, 0.93284348, 0.93681739
APS Failure at Scania Trucks, 0.97673281, 0.97673281, 0.97673281, 0.97673281, 0.97673281, 0.97673281, 0.99103437
default of credit card clients, 0.81450667, 0.81450667, 0.81473833, 0.81472167, 0.81277833, 0.81278, 0.81845333 
Spambase, 0.80565997, 0.80565997, 0.84797393, 0.84826725, 0.86336773, 0.86351983, 0.90458446
Tree Wilt, 0.97339876, 0.97339876, 0.97251033, 0.9726343 , 0.96710744, 0.96716942, 0.98566116
Turkiye Student Evaluation, 0.64890034, 0.64890034, 0.64887457, 0.64891753, 0.64849656, 0.64848797, 0.64828179 
Wireless Indoor Localization, 0.971925, 0.971925, 0.973325, 0.9733, 0.972725, 0.972725, 0.983325
MNIST 5 vs. 8, 0.51990487, 0.51990487, 0.51990487, 0.51990487, 0.52384703, 0.52367199, 0.51990487
