Magic Gamma Telescope, 0.88532144, 0.88536311, 0.91404929, 0.91403924, 0.91406616, 0.9140617, 0.92312272
Epileptic Seizure Recognition, 0.96239455, 0.96239894, 0.99300849, 0.99295183, 0.99326627, 0.99324645, 0.99452017 
APS Failure at Scania Trucks, 0.70072398, 0.70072398, 0.994905, 0.99490564, 0.99576443, 0.99576213, 0.99311675 
default of credit card clients, 0.68253858, 0.68253388, 0.74026433, 0.74025428, 0.74136833, 0.74135998, 0.714143
Spambase, 0.90528759, 0.90579035, 0.94658339, 0.94655813, 0.94486685, 0.94482964, 0.96145465
Tree Wilt, 0.95079074, 0.95091605, 0.99080583, 0.99080024, 0.9923423, 0.99234301, 0.98492607
Turkiye Student Evaluation, 0.58346946, 0.58414629, 0.56334888, 0.56358831, 0.56401653, 0.564067, 0.56180248
Wireless Indoor Localization, 0.99434419, 0.99433207, 0.99684219, 0.99683901, 0.9968379, 0.99683778, 0.99825839
MNIST 5 vs. 8, 0.55031912, 0.55031912, 0.97667389, 0.97639957, 0.97271043, 0.97267702, 0.98006931
