Magic Gamma Telescope, 0.775835, 0.77586925, 0.83871258, 0.83870528, 0.83884006, 0.83883451, 0.83868829
Wireless Indoor Localization, 0.96390726, 0.9639035 , 0.98030329, 0.98029366, 0.98046602, 0.98045614, 0.98062023
Turkiye Student Evaluation, 0.56738092, 0.56751404, 0.6042743, 0.6040363, 0.60214235, 0.60206266, 0.60131121
Tree Wilt, 0.51601713, 0.51599875, 0.92466141, 0.92445634, 0.92616691, 0.92597825, 0.97506038
Spambase, 0.96083184, 0.96076151, 0.96162423, 0.9615794, 0.9709994, 0.97098266, 0.97049631
default of credit card clients, 0.66767315, 0.66769483, 0.72476128, 0.72475054, 0.72581582, 0.72580451, 0.72236244
APS Failure at Scania Trucks, 0.97387763, 0.97386259, 0.94615556, 0.94616122, 0.99278587, 0.99278635, 0.96747953
Epileptic Seizure Recognition, 0.93536624, 0.93552323, 0.51979675, 0.51973029, 0.92416141, 0.92427554, 0.52613507
MNIST, 0.99037749, 0.99039173, 0.98997152, 0.98997287, 0.99378146, 0.99378165, 0.98510728
